@relation mail

@attribute IP real
@attribute TIME real
@attribute Message-ID real
@attribute Subject real
@attribute From real
@attribute text_type {HTML, text}
@attribute multipart {non-multipart, multipart_text, multipart_non-text}
@attribute url real
@attribute url_per real
@attribute spam_word_per real
@attribute spam_f real
@attribute spam {non-spam, spam}

@data
41868,1236268472,3,21024,30880,HTML,multipart_text,47,0.14708640,0.05506488,30.39473168,non-spam
40126,1236297619,3,21468,30710,text,non-multipart,4,0.07483998,0.30280650,30.35443534,spam
40641,1236314587,0,20004,30159,HTML,multipart_text,2,0.01356174,0.00749465,2.00000000,spam
41737,1236316346,6,22250,30587,text,multipart_text,1,0.02794118,0.11911765,7.99827525,spam
41760,1236332394,0,21863,30335,text,multipart_text,4,0.09380235,0.11390285,9.61154012,spam
40680,1236347179,0,20113,30415,text,multipart_text,1,0.04816223,0.08745247,4.52048136,spam
40813,1236351600,0,20088,30331,text,multipart_text,4,0.09354120,0.11358575,9.61154012,spam
40993,1236351600,0,20004,30047,HTML,multipart_text,2,0.01198288,0.00684736,2.14503547,spam
40482,1236351600,3,21897,30715,text,non-multipart,4,0.02515723,0.13443396,12.35196582,spam
41594,1236351600,0,21886,30652,text,multipart_text,3,0.10227273,0.13879870,10.16620281,spam
40468,1236353914,3,20501,30782,text,non-multipart,2,0.06332454,0.12664908,3.98302693,spam
40541,1236431937,4,20353,30097,text,multipart_text,3,0.10153102,0.13779210,10.16620281,spam
40102,1236433212,10,21768,30424,HTML,multipart_text,12,0.04375831,0.01594929,8.47673553,non-spam
40054,1236438000,0,21734,30448,text,non-multipart,4,0.09344845,0.15540884,9.09999608,non-spam
40261,1236453048,0,20004,30399,HTML,multipart_text,2,0.01203438,0.02750716,2.70753792,spam
40765,1236459550,0,20004,30294,HTML,multipart_text,3,0.02417659,0.00735809,2.00000000,spam
40660,1236467996,3,20416,31275,text,non-multipart,3,0.09075194,0.15038894,8.32448748,spam
40109,1236474139,0,20004,30164,HTML,multipart_text,3,0.01814357,0.02524323,2.70753792,spam
40779,1236477163,3,20416,31275,text,non-multipart,3,0.09333333,0.15200000,8.26568931,spam
41898,1236488560,18,20054,30959,text,non-multipart,4,0.06424993,0.15826702,16.26357258,non-spam
40057,1236500291,0,20675,30448,text,non-multipart,5,0.07191995,0.12945591,14.29971385,non-spam
41902,1236505630,19,21755,30363,text,non-multipart,4,0.03831418,0.12846518,16.04841049,non-spam
41932,1236550129,12,20178,30106,text,non-multipart,15,0.04385733,0.04729194,14.49374780,non-spam
41842,1236566704,0,20965,30534,text,non-multipart,15,0.14126260,0.07417187,16.01117165,non-spam
41143,1236568894,0,22157,30150,text,multipart_text,3,0.04200000,0.07100000,8.90051350,spam
41903,1236591304,8,22382,30886,text,non-multipart,28,0.09632028,0.05134945,45.06095410,non-spam
40057,1236596559,0,20689,30448,text,non-multipart,4,0.07434343,0.15515152,12.34369488,non-spam
41863,1236610800,14,21012,30707,text,non-multipart,6,0.03395480,0.08749089,27.33134726,non-spam
40289,1236610800,3,21468,30726,text,non-multipart,4,0.07483998,0.30280650,30.35443534,spam
40098,1236648600,10,21756,30423,text,non-multipart,13,0.17265165,0.08764455,13.36482302,non-spam
40444,1236654377,12,21927,30759,text,non-multipart,0,0.00000000,0.38591917,48.00000000,spam
41882,1236661924,0,20338,30535,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
41881,1236677298,0,20339,30535,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
41014,1236680036,0,20487,30315,text,multipart_text,2,0.03817915,0.18942731,16.01705147,spam
41901,1236692356,11,21386,30394,text,non-multipart,26,0.10075214,0.10914815,38.37407393,non-spam
40783,1236697200,3,20416,31275,text,non-multipart,3,0.09075194,0.15038894,8.32448748,spam
40058,1236697200,0,21700,30448,text,non-multipart,4,0.08273381,0.15377698,9.47630434,non-spam
41913,1236697200,14,22018,30707,text,non-multipart,5,0.03848778,0.10727446,27.01121085,non-spam
40799,1236705697,3,21897,30731,text,non-multipart,4,0.02515723,0.13443396,12.35196582,spam
40082,1236739813,0,20348,30537,text,non-multipart,24,0.26702786,0.05630805,7.68884011,non-spam
41931,1236740755,12,20202,30106,text,non-multipart,3,0.06553398,0.10012136,6.03465172,non-spam
40098,1236750094,10,20371,30423,HTML,multipart_text,33,0.20970588,0.05794118,15.88181569,non-spam
40502,1236757784,0,20486,30183,text,multipart_text,2,0.07939509,0.08790170,5.98737799,spam
41253,1236767314,0,22307,30329,text,multipart_text,1,0.02302632,0.06414474,5.59452785,spam
41901,1236774640,11,21740,30394,text,non-multipart,11,0.05876302,0.09605246,22.82544785,non-spam
40038,1236780198,3,20047,30872,text,non-multipart,16,0.13772794,0.07237513,19.73658422,non-spam
41862,1236783600,14,21178,30707,text,non-multipart,6,0.03045299,0.07908260,24.05040963,non-spam
40045,1236783600,0,20688,30449,text,non-multipart,5,0.08471455,0.11933702,7.65160127,non-spam
41295,1236796605,0,21990,30176,text,multipart_text,2,0.01553885,0.13684211,32.15777508,spam
41902,1236824224,19,21050,30363,text,non-multipart,6,0.03664417,0.09794738,19.02512642,non-spam
40039,1236838319,0,20259,30214,HTML,multipart_text,109,0.11369069,0.03809781,50.12563208,non-spam
40012,1236855429,10,20147,30038,text,multipart_text,126,0.33792151,0.04144707,24.81129709,non-spam
40316,1236857798,0,20117,30461,text,multipart_text,5,0.09873061,0.13258110,11.89682882,spam
41903,1236858327,8,21914,30886,text,non-multipart,18,0.08381618,0.06236455,39.63192348,non-spam
40057,1236860201,0,21734,30448,text,non-multipart,4,0.09344845,0.15540884,9.09999608,non-spam
41861,1236870000,14,22228,30707,text,non-multipart,6,0.03660263,0.08402427,24.55999373,non-spam
40659,1236870000,3,21928,30847,text,non-multipart,2,0.05628518,0.31238274,12.16424288,spam
41902,1236907800,19,21069,30363,text,non-multipart,14,0.08731172,0.06778147,13.51181843,non-spam
40275,1236913294,3,22109,30761,text,non-multipart,4,0.08011869,0.27151335,14.37462271,spam
41632,1236918722,8,21653,30321,text,multipart_text,2,0.08015267,0.08874046,5.98737799,spam
40273,1236919547,3,21493,30749,text,non-multipart,2,0.05517241,0.30344828,17.02877190,spam
40966,1236940239,3,21652,30781,text,non-multipart,2,0.09895833,0.34375000,12.33867743,spam
40048,1236945548,0,22130,30448,text,non-multipart,4,0.05665025,0.13485222,12.83563953,non-spam
41275,1236968222,4,22351,30316,text,multipart_text,3,0.01324782,0.06308485,31.47830348,spam
40504,1236974534,4,20503,30172,text,multipart_text,2,0.01892285,0.12590975,21.54756772,spam
41293,1236986949,6,21673,30252,text,multipart_text,2,0.01890451,0.12578769,21.54756772,spam
40045,1236995938,0,22146,30448,text,non-multipart,5,0.11546185,0.13403614,7.51048567,non-spam
41513,1237028348,0,21506,30199,text,multipart_text,3,0.02282195,0.07879007,21.54929246,spam
40848,1237042800,0,22362,30502,text,multipart_text,2,0.04994055,0.22116528,16.60460194,spam
40058,1237042800,0,20689,30448,text,non-multipart,4,0.07565789,0.15542763,11.90858845,non-spam
40090,1237081269,0,20342,30446,text,non-multipart,6,0.07687811,0.08067816,8.73936733,non-spam
40118,1237129200,3,21889,30782,text,non-multipart,2,0.10714286,0.26785714,2.67923641,spam
41120,1237129200,0,20004,30381,HTML,multipart_text,2,0.01141878,0.00685127,2.14503547,spam
40097,1237172672,10,22190,30423,text,non-multipart,9,0.10159942,0.09923664,17.86919368,non-spam
41832,1237173209,0,20506,31263,text,non-multipart,2,0.02875520,0.13393871,11.96236917,non-spam
40078,1237174819,19,21717,30887,text,non-multipart,52,0.19682836,0.03418177,12.73372271,non-spam
40681,1237175233,3,20097,30469,text,multipart_text,1,0.00888137,0.10467329,25.28713104,spam
41903,1237184917,8,22382,30886,text,non-multipart,28,0.09667664,0.05057427,42.95401983,non-spam
40053,1237198841,0,20675,30448,text,non-multipart,5,0.07341207,0.13022662,13.86460742,non-spam
41861,1237214460,14,21012,30707,text,non-multipart,6,0.03395480,0.08749089,27.33134726,non-spam
40784,1237215600,3,20416,31275,text,non-multipart,3,0.09333333,0.15200000,8.26568931,spam
40775,1237253400,3,21928,30847,text,non-multipart,2,0.05591799,0.31034483,12.16424288,spam
40034,1237259852,4,22382,31295,HTML,multipart_text,268,0.37401489,0.00214933,6.64462389,non-spam
40843,1237263091,4,22064,30153,text,multipart_text,2,0.03566879,0.10955414,14.33213124,spam
41901,1237266718,11,21367,30394,text,non-multipart,17,0.07725003,0.10997769,31.35510172,non-spam
40119,1237270789,3,21490,30782,text,non-multipart,3,0.06580087,0.35064935,13.04903767,spam
41289,1237302000,12,22330,30455,text,multipart_text,3,0.06287425,0.07035928,5.30163459,spam
40051,1237302000,0,21835,30448,text,non-multipart,4,0.08602151,0.13744741,7.90443338,non-spam
41266,1237311281,4,22006,30646,text,multipart_text,1,0.01958042,0.13146853,9.02834072,spam
40453,1237315180,3,21652,30781,text,non-multipart,3,0.09592326,0.38489209,14.50680099,spam
41914,1237326102,14,22019,30707,text,non-multipart,6,0.03736799,0.12115585,31.14385951,non-spam
40249,1237345387,16,20463,30769,text,multipart_text,0,0.00000000,0.00000000,0.00000000,spam
40098,1237350395,10,21876,30423,text,non-multipart,4,0.05615173,0.09283753,10.78358355,non-spam
40020,1237353126,10,20148,30038,text,multipart_text,98,0.32723822,0.04346726,21.91407628,non-spam
41175,1237357268,0,22003,30126,text,multipart_text,1,0.01679587,0.15116279,15.85198542,spam
41166,1237360202,0,21863,30229,text,multipart_text,4,0.09375000,0.11383929,9.61154012,spam
40299,1237370607,0,20088,30342,text,multipart_text,4,0.09380235,0.11390285,9.61154012,spam
41277,1237388400,4,21869,30508,text,multipart_text,2,0.02730819,0.11410923,12.42644349,spam
40470,1237388400,3,20416,31275,text,non-multipart,3,0.09341637,0.15213523,8.26568931,spam
40290,1237388400,3,21826,30761,text,non-multipart,5,0.10000000,0.31102941,16.54274627,spam
41903,1237393392,8,22382,30886,text,non-multipart,29,0.09720792,0.05231633,47.93226451,non-spam
40051,1237394763,0,22382,30449,text,non-multipart,5,0.10244989,0.11759465,5.90529575,non-spam
40443,1237400453,0,22321,30718,HTML,multipart_text,20,0.00753468,0.00092005,11.23370311,spam
41868,1237412321,3,21034,30880,text,non-multipart,5,0.07206293,0.13473738,16.41491905,non-spam
41402,1237430400,3,22351,30639,text,multipart_text,3,0.01324782,0.06308485,31.47830348,spam
40292,1237431919,3,21445,31175,text,non-multipart,3,0.07040000,0.29520000,12.93928109,spam
40043,1237441376,0,20260,30214,HTML,multipart_text,121,0.10340388,0.04511539,74.06848026,non-spam
41131,1237442700,0,21886,30614,text,multipart_text,3,0.10144928,0.13768116,10.16620281,spam
40986,1237453679,3,21493,30749,text,non-multipart,3,0.08710801,0.32404181,18.07777037,spam
41874,1237467567,0,20982,30876,HTML,multipart_text,57,0.25446011,0.01610204,24.19912979,non-spam
40065,1237470921,0,20496,30604,text,non-multipart,2,0.04614733,0.00000000,0.00000000,non-spam
40987,1237474800,3,21652,30781,text,non-multipart,3,0.09569378,0.38397129,14.50680099,spam
40823,1237491586,4,20076,30297,text,multipart_text,2,0.01846670,0.14689424,22.30214417,spam
40301,1237532700,0,20508,30285,text,multipart_text,3,0.04208417,0.07114228,8.90051350,spam
41898,1237542874,18,21041,30959,text,non-multipart,4,0.06266021,0.12560524,12.70279487,non-spam
40053,1237548133,0,22382,30449,text,non-multipart,5,0.10374380,0.13396482,7.06949943,non-spam
40486,1237561200,3,21826,30761,text,non-multipart,6,0.11386139,0.29915134,16.54274627,spam
41395,1237563528,4,22157,30265,text,multipart_text,3,0.04205607,0.07109479,8.90051350,spam
40326,1237596244,4,21785,30021,text,multipart_text,1,0.04011461,0.11747851,4.98412450,spam
40058,1237598114,0,22137,30448,text,non-multipart,4,0.09603340,0.12369520,7.41248873,non-spam
40101,1237640402,10,21513,30424,HTML,multipart_text,12,0.04575059,0.01537476,7.83583552,non-spam
41739,1237642253,4,21466,30553,text,multipart_text,3,0.08203125,0.12304688,10.66140096,spam
40670,1237650221,3,21468,30804,text,non-multipart,4,0.07305035,0.30355380,30.35443534,spam
40010,1237686300,23,20135,30533,HTML,multipart_text,72,0.20891780,0.00000000,0.00000000,non-spam
41134,1237693799,0,22307,30515,text,multipart_text,1,0.02292576,0.06386463,5.59452785,spam
40839,1237711294,0,20001,30807,text,non-multipart,0,0.00000000,0.00000000,0.00000000,spam
40053,1237717550,0,20838,30449,text,non-multipart,5,0.10167993,0.12334218,6.61283368,non-spam
41643,1237734000,0,22351,30177,text,multipart_text,3,0.01324782,0.06308485,31.47830348,spam
40090,1237734000,0,20382,30446,text,non-multipart,8,0.09247367,0.11328025,12.94931598,non-spam
40055,1237787871,0,20689,30448,text,non-multipart,4,0.07437348,0.15521423,12.34369488,non-spam
41856,1237807528,12,20953,30290,HTML,non-multipart,169,0.40532102,0.01708079,23.69781663,non-spam
41163,1237820400,0,21653,30544,text,multipart_text,2,0.07954545,0.08806818,5.98737799,spam
40686,1237862257,4,22376,30042,text,multipart_text,6,0.04993695,0.09003783,10.71737682,spam
41847,1237864050,0,20233,30534,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
41896,1237896545,17,21809,30920,text,non-multipart,10,0.04767880,0.09581385,20.61855670,non-spam
40543,1237898729,0,20117,30414,text,multipart_text,5,0.09882353,0.13270588,11.89682882,spam
41859,1237903222,14,21154,30829,text,non-multipart,4,0.03492787,0.10364465,16.72807808,non-spam
40057,1237906800,0,21835,30448,text,non-multipart,4,0.08602151,0.13744741,7.90443338,non-spam
41914,1237911643,14,22189,30707,text,non-multipart,6,0.04150019,0.10091507,23.77797813,non-spam
40082,1237935567,0,21612,30537,text,non-multipart,26,0.28500667,0.04343685,6.67359178,non-spam
40274,1237948351,3,21546,30693,text,non-multipart,3,0.09492848,0.15994798,3.83756027,spam
40102,1237950313,10,22113,30423,text,non-multipart,4,0.05015604,0.10231832,12.12810160,non-spam
41413,1237964484,4,22225,30034,text,multipart_text,6,0.04986150,0.08990179,10.71737682,spam
40022,1237975795,10,20467,30037,HTML,multipart_text,28,0.26441132,0.03091883,18.38618635,non-spam
41255,1237976021,4,21673,30653,text,multipart_text,2,0.01892285,0.12590975,21.54756772,spam
40516,1237981204,4,21829,30279,text,multipart_text,3,0.02282195,0.07879007,21.54929246,spam
41136,1237986002,0,21424,30114,text,multipart_text,5,0.09882353,0.13270588,11.89682882,spam
40166,1237993200,4,20602,30025,text,multipart_text,2,0.02732596,0.11418347,12.42644349,spam
41902,1237993200,19,20999,30363,text,non-multipart,4,0.04357194,0.13287048,15.56779428,non-spam
41923,1237993200,14,20966,30707,text,non-multipart,10,0.05174795,0.09531399,28.27886010,non-spam
41827,1237993957,26,20667,30854,text,non-multipart,12,0.08295905,0.13315720,29.52647877,non-spam
40052,1238020273,0,22143,30448,text,non-multipart,5,0.09858551,0.11187312,7.97303124,non-spam
40781,1238036460,3,20511,31275,text,non-multipart,3,0.02166065,0.15667870,29.18521422,spam
40985,1238037058,3,22103,30708,text,non-multipart,1,0.02002053,0.25410678,25.28713104,spam
40023,1238049594,10,20149,30038,text,multipart_text,86,0.31645482,0.05105230,23.11050135,non-spam
41185,1238059047,4,21869,30094,text,multipart_text,2,0.02730819,0.11410923,12.42644349,spam
40315,1238064548,0,20097,30016,text,multipart_text,1,0.00888325,0.10469543,25.28713104,spam
40315,1238071315,0,20097,30016,text,multipart_text,1,0.00888325,0.10469543,25.28713104,spam
41615,1238079600,0,22330,30155,text,multipart_text,3,0.06293706,0.07042957,5.30163459,spam
41903,1238079600,8,22268,30886,text,non-multipart,19,0.08074059,0.06882673,45.49214065,non-spam
41867,1238079600,3,21021,30880,HTML,multipart_text,52,0.20144953,0.05114953,23.84853593,non-spam
41924,1238079600,14,21176,30707,text,non-multipart,7,0.03392030,0.07645968,23.66822155,non-spam
41851,1238089306,12,20171,30290,HTML,non-multipart,53,0.35412653,0.03227360,8.58061228,non-spam
41033,1238117400,0,20503,30477,text,multipart_text,2,0.01892285,0.12590975,21.54756772,spam
40057,1238131996,0,20786,30449,text,non-multipart,5,0.08434177,0.12541254,7.75939791,non-spam
40049,1238133049,0,22131,30448,text,non-multipart,4,0.05386417,0.11592506,11.94778723,non-spam
40099,1238148065,10,21513,30424,HTML,multipart_text,11,0.03477989,0.01312617,7.89463369,non-spam
40647,1238166000,3,21546,30693,text,non-multipart,3,0.09574468,0.14539007,3.83756027,spam
40684,1238202439,0,22064,30459,text,multipart_text,2,0.03560831,0.10936838,14.33213124,spam
40010,1238205477,23,20430,30533,HTML,multipart_text,55,0.20854086,0.00000000,0.00000000,non-spam
41902,1238299136,19,20659,30363,text,non-multipart,5,0.02976014,0.10305004,20.39359492,non-spam
41436,1238310144,0,21654,30198,text,multipart_text,2,0.01865837,0.12394491,30.40359061,spam
40053,1238332678,0,22144,30448,text,non-multipart,5,0.08566108,0.12067039,9.11959547,non-spam
40785,1238338800,3,20416,31275,text,non-multipart,3,0.09075194,0.15038894,8.32448748,spam
41851,1238386211,12,22223,30290,HTML,non-multipart,49,0.31169567,0.04225010,12.88071812,non-spam
40288,1238391118,3,21937,30691,text,non-multipart,1,0.04378698,0.29467456,11.24938262,spam
40078,1238397173,19,21718,30855,text,non-multipart,39,0.17810037,0.03782663,10.99525695,non-spam
41417,1238399826,0,21428,30640,text,multipart_text,1,0.01271041,0.11336311,12.89486888,spam
41157,1238403056,8,21903,30276,text,multipart_text,2,0.03575990,0.10983397,14.33213124,spam
41536,1238412841,0,22003,30260,text,multipart_text,1,0.01678141,0.15103270,15.85198542,spam
40454,1238425163,3,21546,30693,text,non-multipart,3,0.09123223,0.14573460,3.83756027,spam
41913,1238425200,14,22382,30707,text,non-multipart,7,0.03820645,0.09892574,33.40453138,non-spam
40052,1238425200,0,22382,30449,text,non-multipart,5,0.08598131,0.12672897,8.50068598,non-spam
41902,1238425200,19,21686,30363,text,non-multipart,20,0.05315978,0.07390061,34.50123476,non-spam
40800,1238457100,3,21468,30691,text,non-multipart,4,0.07662083,0.30206287,30.35443534,spam
41839,1238475129,0,20440,30534,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
41636,1238477670,4,22012,30100,text,multipart_text,1,0.03204047,0.15935919,6.83516914,spam
40308,1238491656,4,20085,30440,text,multipart_text,1,0.01964840,0.09307135,8.17141625,spam
41921,1238498277,14,21177,30707,text,non-multipart,8,0.03585103,0.07988166,26.96679864,non-spam
41906,1238511600,15,21159,30791,text,non-multipart,24,0.05866993,0.15011190,85.54498060,non-spam
41855,1238511600,12,20048,30290,HTML,non-multipart,39,0.30871868,0.04613974,11.73611383,non-spam
40082,1238544511,0,21618,30537,text,non-multipart,23,0.26131647,0.04566120,6.54227588,non-spam
41200,1238553670,0,20001,30686,text,non-multipart,0,0.26131647,0.04566120,0.00000000,spam
40485,1238555549,3,22103,30691,text,non-multipart,1,0.02000000,0.25384615,25.28713104,spam
40146,1238574213,0,20594,30543,text,multipart_text,2,0.03718459,0.15803453,13.82168476,spam
40150,1238582834,4,21784,30445,text,multipart_text,2,0.06940639,0.15342466,7.39528047,spam
40831,1238585520,0,20598,30254,text,multipart_text,1,0.01675258,0.15077320,15.85198542,spam
41614,1238588557,9,22250,30367,text,multipart_text,1,0.02794118,0.11911765,7.99827525,spam
41829,1238598000,25,21298,31264,text,non-multipart,6,0.05647330,0.09796389,15.36439183,non-spam
41903,1238598000,8,20159,30886,text,non-multipart,28,0.09549990,0.05243755,40.64521187,non-spam
40090,1238598000,0,20443,30446,text,non-multipart,7,0.09933543,0.11857293,11.50288111,non-spam
40057,1238598000,0,22131,30448,text,non-multipart,4,0.05370695,0.11558669,11.94778723,non-spam
41867,1238599886,3,21032,30880,HTML,multipart_text,53,0.21016739,0.05114693,21.02273529,non-spam
40642,1238635800,0,20326,30391,HTML,multipart_non-text,0,0.00000000,0.00000000,0.00000000,spam
40807,1238643719,4,20167,30293,text,multipart_text,0,0.00000000,0.00000000,0.00000000,spam
40136,1238647985,3,21937,30691,text,non-multipart,1,0.04373522,0.29432624,11.24938262,spam
41833,1238649838,0,20239,30534,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
40024,1238653414,10,20024,30037,HTML,multipart_text,27,0.20917297,0.00000000,0.00000000,non-spam
40046,1238665055,0,20835,30449,text,non-multipart,5,0.10407240,0.12488688,7.35412175,non-spam
41922,1238678645,14,21071,30707,text,non-multipart,10,0.05200214,0.08040577,22.98028302,non-spam
41519,1238684400,0,22000,30272,text,multipart_text,2,0.01942767,0.16382253,24.23464388,spam
40984,1238684400,3,22337,30691,text,non-multipart,1,0.03900000,0.34500000,17.18188233,spam
40701,1238728412,0,21844,30142,text,multipart_text,3,0.06284289,0.07032419,5.30163459,spam
41412,1238733717,0,21652,30285,text,multipart_text,2,0.03814181,0.18924205,16.01705147,spam
40669,1238741629,3,22337,30837,text,non-multipart,1,0.03900000,0.34500000,17.18188233,spam
41282,1238761756,0,21903,30346,text,multipart_text,2,0.03566879,0.10955414,14.33213124,spam
41764,1238770800,0,21995,30322,text,multipart_text,3,0.02000000,0.11333333,30.65293403,spam
40055,1238781885,0,21735,30448,text,non-multipart,4,0.09250880,0.14479638,8.72564776,non-spam
40098,1238845905,10,22066,30424,HTML,multipart_text,11,0.03704761,0.01441004,8.41205754,non-spam
41015,1238857200,4,20112,30481,text,multipart_text,1,0.01344538,0.11470588,11.27094195,spam
40534,1238857200,0,20098,30570,text,multipart_text,2,0.04125000,0.13687500,13.29642115,spam
40045,1238893346,0,20785,30449,text,non-multipart,5,0.10034904,0.11780105,7.48500647,non-spam
40473,1238913317,3,20216,31275,text,non-multipart,5,0.12091503,0.16274510,7.72737251,spam
40097,1238943600,10,21793,30423,text,non-multipart,7,0.08671006,0.09258870,14.71957195,non-spam
41930,1238975999,12,20177,30106,text,non-multipart,11,0.03325395,0.07885684,23.84853593,non-spam
41180,1238987750,6,21652,30517,text,multipart_text,2,0.03821656,0.18961293,16.01705147,spam
41199,1238995621,0,20001,30832,text,non-multipart,0,0.03821656,0.18961293,0.00000000,spam
41752,1239000700,0,21569,30198,text,multipart_text,1,0.01300284,0.11093052,11.27094195,spam
41881,1239015767,0,21637,30535,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
40145,1239027991,6,20487,30489,text,multipart_text,2,0.03817915,0.18942731,16.01705147,spam
41617,1239028111,13,20694,30256,text,multipart_text,1,0.01607233,0.07835259,3.73564345,spam
40967,1239028664,3,20216,31275,text,non-multipart,5,0.12091503,0.16274510,7.72737251,spam
41903,1239030000,8,22082,30886,text,non-multipart,29,0.10208026,0.05130221,40.10230881,non-spam
40058,1239030000,0,22382,30449,text,non-multipart,5,0.09033281,0.09984152,6.51875661,non-spam
41856,1239030000,12,20948,30290,HTML,non-multipart,17,0.03637386,0.00053273,0.57034221,non-spam
40036,1239054287,10,20466,30037,HTML,multipart_text,30,0.26079119,0.02674657,20.03688605,non-spam
40835,1239067800,0,20563,30133,text,multipart_text,2,0.00481682,0.01773464,8.01658108,spam
41901,1239076672,11,21372,30394,text,non-multipart,21,0.08738885,0.10584186,34.35467053,non-spam
40348,1239103046,0,20583,30273,text,multipart_text,1,0.01610468,0.07851032,3.73564345,spam
41827,1239116400,26,20668,30854,text,non-multipart,10,0.05669145,0.12790428,35.87472071,non-spam
41914,1239116400,14,21984,30707,text,non-multipart,7,0.04374401,0.12080537,28.72333503,non-spam
41902,1239124939,19,21743,30363,text,non-multipart,21,0.04888365,0.08561332,48.28897338,non-spam
41393,1239158378,0,21655,30545,text,multipart_text,4,0.03458213,0.10924810,13.16686919,spam
40082,1239160510,0,20242,30537,text,non-multipart,21,0.25929908,0.04837669,7.03618047,non-spam
41903,1239161456,8,22382,30886,text,non-multipart,19,0.07691423,0.06165408,42.95009996,non-spam
41921,1239179400,14,21570,30707,text,non-multipart,10,0.05104822,0.09528302,28.36117753,non-spam
40046,1239182126,0,22132,30448,text,non-multipart,4,0.08795411,0.14627151,8.62569088,non-spam
40040,1239185975,0,20261,30215,HTML,multipart_text,118,0.11705849,0.04467374,63.17078907,non-spam
40782,1239240600,3,20216,31275,text,non-multipart,5,0.12091503,0.16274510,7.72737251,spam
41759,1239252663,3,21553,30415,text,multipart_text,2,0.02588598,0.11278891,11.79816550,spam
40287,1239255387,3,22337,30003,text,non-multipart,1,0.03900000,0.34500000,17.18188233,spam
41881,1239274075,0,20345,30535,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
41005,1239274187,3,20503,30419,text,multipart_text,2,0.01890451,0.12578769,21.54756772,spam
41285,1239275819,0,21995,30116,text,multipart_text,3,0.01997579,0.11319613,30.65293403,spam
41007,1239283459,0,22364,30675,text,multipart_text,2,0.02590194,0.11285846,11.79816550,spam
40342,1239289200,4,20565,30622,text,multipart_text,1,0.00817787,0.12190135,24.70698914,spam
41903,1239289200,8,21346,30886,text,non-multipart,26,0.09618442,0.05484897,42.20336326,non-spam
40054,1239289200,0,20476,30448,text,non-multipart,4,0.09269521,0.17380353,11.63027714,non-spam
41851,1239289200,12,20049,30290,HTML,non-multipart,62,0.30814946,0.03196940,12.07518325,non-spam
41763,1239289200,0,21673,30271,text,multipart_text,2,0.01891368,0.12584869,21.54756772,spam
41773,1239331500,0,22102,30501,text,multipart_text,1,0.00816535,0.12171472,24.70698914,spam
41002,1239333600,4,20512,30675,text,multipart_text,3,0.01996370,0.11312765,30.65293403,spam
40049,1239354135,0,20679,30448,text,non-multipart,4,0.08510638,0.14292322,9.70757712,non-spam
40484,1239354593,3,22338,30702,text,non-multipart,1,0.03016023,0.29406221,12.08627651,spam
40093,1239358517,12,20484,30612,text,non-multipart,8,0.09881941,0.10690861,18.30234017,non-spam
41883,1239375600,0,21705,30535,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
40533,1239411827,0,20601,30341,text,multipart_text,2,0.01414990,0.11076719,18.58610011,spam
41744,1239426720,4,21582,30231,text,multipart_text,2,0.01524899,0.18155826,25.41472306,spam
40051,1239433808,0,20130,30448,text,non-multipart,4,0.08654751,0.14393227,8.83540434,non-spam
40811,1239462000,0,20572,30673,text,multipart_text,4,0.02998637,0.05929123,8.36109913,spam
40287,1239462000,3,21978,30702,text,non-multipart,4,0.12807882,0.17733990,7.04794010,spam
41602,1239465156,0,21342,30155,text,multipart_text,2,0.02971634,0.16614138,15.01136765,spam
41301,1239498292,4,22249,30501,text,multipart_text,2,0.01416870,0.11091432,18.58610011,spam
40054,1239537087,0,20792,30449,text,non-multipart,5,0.10393131,0.11658382,5.76026028,non-spam
41914,1239542466,14,21641,30707,text,non-multipart,6,0.03360876,0.09525578,33.81372741,non-spam
41930,1239560872,12,20184,30106,text,non-multipart,13,0.03153409,0.05816761,23.65297323,non-spam
40503,1239579153,6,20597,30314,text,multipart_text,2,0.02979684,0.16659142,15.01136765,spam
40982,1239592361,3,22338,30702,text,non-multipart,1,0.03018868,0.29433962,12.08627651,spam
40338,1239612086,6,20097,30120,text,multipart_text,1,0.00887949,0.10465116,25.28713104,spam
41297,1239620565,0,22003,30150,text,multipart_text,1,0.01675258,0.15077320,15.85198542,spam
41400,1239626122,0,22039,30283,text,multipart_text,3,0.03347988,0.10449780,15.11438203,spam
40108,1239626482,0,20399,30594,text,multipart_text,0,0.00000000,0.00000000,0.00000000,spam
41903,1239634800,8,21009,30886,text,non-multipart,29,0.09831505,0.05908387,49.43945749,non-spam
41914,1239634800,14,20960,30861,text,non-multipart,8,0.09947013,0.10621387,12.32213555,non-spam
41755,1239634800,4,22285,30069,text,multipart_text,2,0.02814070,0.15477387,14.12331935,spam
40478,1239671352,3,21978,30702,text,non-multipart,4,0.12807882,0.17733990,7.04794010,spam
41858,1239672600,12,20952,30290,HTML,non-multipart,178,0.42464371,0.01578985,20.60742425,non-spam
