@relation mail

@attribute IP real
@attribute TIME real
@attribute Message-ID real
@attribute Subject real
@attribute From real
@attribute text_type {HTML, text}
@attribute multipart {non-multipart, multipart_text, multipart_non-text}
@attribute url real
@attribute url_per real
@attribute spam_word_per real
@attribute spam_f real
@attribute spam {non-spam, spam}

@data
41198,1228783774,4,21878,30211,text,multipart_text,1,0.02745098,0.11568627,6.39920034,spam
41901,1228786200,11,21390,30394,text,non-multipart,25,0.08944936,0.09516723,36.84881032,non-spam
41321,1228789880,4,21778,30301,text,multipart_text,2,0.02175831,0.18435754,33.63404022,spam
40015,1228816107,4,22382,31295,HTML,multipart_text,267,0.26747325,0.00394213,8.86327467,non-spam
40090,1228834800,0,20660,30446,text,non-multipart,6,0.06052455,0.08809684,11.74089608,non-spam
40082,1228843719,0,20310,30537,text,non-multipart,25,0.25646513,0.04868914,7.49088628,non-spam
40095,1228866320,9,20226,30526,text,non-multipart,8,0.08229708,0.00000000,0.00000000,non-spam
41901,1228878353,11,21739,30394,text,non-multipart,15,0.06630091,0.08034220,26.92563992,non-spam
41318,1228903211,12,22200,30111,text,multipart_text,2,0.02274124,0.17240320,24.45784172,spam
41903,1228911098,8,22382,30886,text,non-multipart,28,0.09122370,0.06110926,58.98239975,non-spam
40049,1228921200,0,22121,30448,text,non-multipart,7,0.11426544,0.12029808,9.70169731,non-spam
40090,1228933646,0,20377,30446,text,non-multipart,8,0.08957452,0.12017915,12.53032025,non-spam
40082,1228946906,4,20969,30856,text,non-multipart,3,0.03622736,0.06995628,8.07102818,non-spam
41902,1228959000,19,21577,30363,text,non-multipart,15,0.04590341,0.09558710,32.96268276,non-spam
41928,1228975534,12,20199,30106,text,non-multipart,8,0.04594689,0.05031447,7.39092940,non-spam
40369,1228976497,4,20109,30336,text,multipart_text,1,0.00680272,0.09849157,26.98878915,spam
40043,1228982115,0,20284,30214,HTML,multipart_text,95,0.10260601,0.04466485,54.72560856,non-spam
40193,1228985891,0,20013,30501,text,multipart_text,1,0.03267327,0.17524752,6.33538474,spam
40007,1228996967,11,20971,30597,text,non-multipart,9,0.02253905,0.13554880,36.55764180,non-spam
41869,1229001574,3,21028,30880,HTML,multipart_text,51,0.12395791,0.05822058,39.15412959,non-spam
41903,1229005811,8,22382,30886,text,non-multipart,21,0.12822284,0.05973757,25.31653012,non-spam
40044,1229007600,0,22382,30449,text,non-multipart,5,0.09259259,0.11352657,6.52071655,non-spam
41876,1229014375,0,20979,30876,HTML,multipart_text,68,0.23127490,0.01733068,23.96699463,non-spam
40047,1229044930,0,22122,30448,text,non-multipart,4,0.06220419,0.13083164,12.39661323,non-spam
40058,1229045400,0,21746,30448,text,non-multipart,5,0.13307565,0.15074544,6.40508016,non-spam
41927,1229052797,12,20198,30106,text,non-multipart,9,0.04476081,0.05463640,13.66708479,non-spam
40909,1229059680,0,20112,30085,text,multipart_text,1,0.01342009,0.11102074,11.27094195,spam
41694,1229076616,4,21569,30319,text,multipart_text,1,0.01341463,0.11097561,11.27094195,spam
40078,1229079754,19,21708,30887,text,non-multipart,21,0.14411520,0.03927169,7.86915448,non-spam
41596,1229090560,4,21668,30610,text,multipart_text,2,0.02842184,0.18175019,15.44866920,spam
40841,1229094000,4,20492,30296,text,multipart_text,2,0.02842184,0.18175019,15.44866920,spam
40247,1229094000,17,20403,30566,HTML,non-multipart,2,0.13841808,0.00000000,0.00000000,spam
40364,1229094063,0,20120,30553,text,multipart_text,3,0.01683604,0.09510086,28.59158794,spam
41044,1229094532,4,20594,30320,text,multipart_text,2,0.03355408,0.15761589,13.82168476,spam
40050,1229112071,0,20900,30449,text,non-multipart,5,0.08866615,0.11102544,7.64964133,non-spam
40051,1229151763,0,22123,30448,text,non-multipart,4,0.05070267,0.12565445,15.90490377,non-spam
40562,1229180400,4,20614,30514,text,multipart_text,2,0.01802680,0.13447016,17.65904904,spam
41011,1229180400,0,21912,30589,text,multipart_text,4,0.03284231,0.07679305,10.35239701,spam
41452,1229216730,4,21357,30602,text,multipart_text,4,0.05638095,0.13714286,15.20324566,spam
41307,1229217802,4,21666,30528,text,multipart_text,1,0.01155718,0.12317518,13.12375054,spam
41754,1229266800,0,21518,30141,text,multipart_text,4,0.03285024,0.07681159,10.35239701,spam
40353,1229266800,4,20570,30607,text,multipart_text,1,0.01155015,0.12310030,13.12375054,spam
41931,1229307941,12,20191,30106,text,non-multipart,19,0.04831195,0.06730700,32.86358826,non-spam
41857,1229312602,12,20951,30290,HTML,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
41834,1229315649,0,20963,30534,text,non-multipart,18,0.15741553,0.08984204,22.86268668,non-spam
40174,1229334524,12,21817,30035,text,multipart_text,2,0.02586794,0.15929204,13.71369213,spam
41294,1229338963,4,21496,30160,text,multipart_text,2,0.02591204,0.15956359,13.71369213,spam
41783,1229352873,4,22000,30322,text,multipart_text,2,0.01946856,0.16416732,24.23464388,spam
41319,1229353200,4,21950,30059,text,multipart_text,2,0.02071669,0.14697648,22.30214417,spam
41903,1229353200,8,22382,30886,text,non-multipart,30,0.09427127,0.05512547,49.41789816,non-spam
41863,1229353200,14,21153,30707,text,non-multipart,20,0.11336700,0.08347934,24.40319862,non-spam
40090,1229374356,0,20655,30446,text,non-multipart,5,0.05893910,0.06735897,5.62306456,non-spam
40185,1229385344,0,22064,30123,text,multipart_text,2,0.03217612,0.10922947,14.33213124,spam
41858,1229391000,12,21434,30290,HTML,non-multipart,39,0.29758820,0.04395057,11.50331230,non-spam
40085,1229394762,19,21924,30428,HTML,multipart_text,4,0.01744911,0.03863731,15.17972639,non-spam
41659,1229401395,4,22200,30075,text,multipart_text,2,0.02269243,0.17203312,24.45784172,spam
40046,1229414583,0,20686,30448,text,non-multipart,4,0.07890223,0.16595197,12.93167653,non-spam
41826,1229420369,26,20664,30854,text,non-multipart,10,0.09336519,0.14115052,23.69174082,non-spam
41902,1229439600,19,20373,30363,text,non-multipart,17,0.04944385,0.08998924,32.62949316,non-spam
41545,1229479703,3,21965,30485,text,multipart_text,1,0.00961538,0.13253638,14.08608051,spam
40367,1229489376,9,20111,30231,text,multipart_text,3,0.07431551,0.12320730,10.66140096,spam
41848,1229490290,0,21642,30531,text,non-multipart,13,0.17507577,0.11285434,18.94520011,non-spam
41848,1229496471,0,21642,30531,text,non-multipart,13,0.17507577,0.11285434,18.94520011,non-spam
40682,1229508816,8,20567,30635,text,multipart_text,4,0.03245783,0.04356182,10.37481871,spam
40188,1229520006,0,20120,30664,text,multipart_text,3,0.01685905,0.09523086,28.59158794,spam
41895,1229526000,17,21804,30920,text,non-multipart,12,0.04557569,0.09035181,25.56587354,non-spam
41903,1229526000,8,22382,30886,text,non-multipart,29,0.09209671,0.05453095,48.73583944,non-spam
40048,1229526000,0,22123,30448,text,non-multipart,5,0.07472385,0.12378168,11.07561444,non-spam
40051,1229526000,0,20810,30449,text,non-multipart,5,0.09047994,0.11801731,8.48261534,non-spam
40041,1229530873,0,20286,30214,HTML,multipart_text,135,0.12823201,0.04635453,68.16208694,non-spam
40190,1229563800,3,20094,30203,text,multipart_text,2,0.01663823,0.14270478,30.37638666,spam
41903,1229587465,8,22382,30886,text,non-multipart,28,0.12343904,0.06876438,43.47340363,non-spam
40053,1229592195,0,22382,30449,text,non-multipart,5,0.08424908,0.10219780,7.15965662,non-spam
41449,1229611520,8,21654,30420,text,multipart_text,2,0.01866667,0.12400000,30.40359061,spam
40037,1229612400,10,20150,30038,text,multipart_text,98,0.31203602,0.05202629,25.99706009,non-spam
40281,1229650200,3,20412,30827,text,non-multipart,3,0.08465011,0.19977427,9.62435812,spam
41854,1229655784,12,20955,30290,HTML,non-multipart,19,0.01450600,0.00023415,0.57034221,non-spam
41784,1229677016,0,21478,30012,text,multipart_text,1,0.00890208,0.10491734,25.28713104,spam
41544,1229679148,0,22330,30196,text,multipart_text,3,0.06309464,0.07060591,5.30163459,spam
